customer_id,message,category
C1001,My home loan application has been pending for three weeks and nobody from the branch has called me back. I have already submitted my documents twice.,Loan
C1002,Could you please tell me the current status of my home loan application? I submitted it on 14 February.,Loan
C1003,I have tried to update my KYC on the mobile app four times and it keeps failing at the Aadhaar step. This is extremely frustrating and no one is helping.,KYC
C1004,Thank you for the quick turnaround on my property valuation. The relationship manager was very helpful throughout.,Loan
C1005,My account opening request failed and I was never told why. I have wasted two visits to the branch.,Account
C1006,"I raised a complaint about an unauthorised card transaction of 14,200 rupees eleven days ago and I have still not received the provisional credit. I will escalate this to the ombudsman.",Complaint
C1007,"I want to know whether I am eligible for a personal loan with a net monthly income of 34,000 rupees.",Loan
C1008,The minimum balance charge levied on my salary account last month appears to be incorrect. Please review it.,Account
C1009,Please confirm which documents I need to submit for periodic KYC updation. My account is categorised as low risk.,KYC
C1010,"Absolutely appalling service. Three visits, two phone calls, zero answers about my loan. I am closing every account I have with this bank.",Complaint
C1011,The new mobile app is much faster than the old one. Very happy with the update.,General
C1012,My credit card limit enhancement request was rejected without any explanation. Can someone tell me the reason?,Card
C1013,I need my home loan sanction letter reissued with a corrected spelling of my name.,Loan
C1014,Nobody has responded to my complaint reference CMP-2026-8841 for over a month now. This is unacceptable.,Complaint
C1015,What is the processing fee for a home loan of 50 lakh rupees?,Loan
C1016,"Someone withdrew 45,000 rupees from my account and I did not authorise it. I need this investigated immediately.",Complaint
C1017,Could you explain how the interest rate on my home loan is calculated? I want to understand the spread.,Loan
C1018,My debit card has been blocked for no reason and the helpline keeps disconnecting. Three days without access to my own money.,Account
C1019,Requesting a duplicate statement for the quarter ending March 2026. Please email it to my registered address.,Account
C1020,The branch staff at Indore were courteous and resolved my query in under ten minutes. Well done.,General
C1021,I was charged a foreclosure fee of 4 percent which was never disclosed to me at the time of sanction. This is misleading.,Complaint
C1022,How long does it take to activate a salary account after submitting documents?,Account
C1023,My EMI was debited twice this month. Please reverse the duplicate debit at the earliest.,Complaint
C1024,I would like to add my spouse as a co-applicant on my existing home loan application. What is the process?,Loan
C1025,Recovery agents called my employer about my overdue EMI. This is a serious breach of privacy and I want it stopped.,Complaint
C1026,What is the maximum credit card limit I can get on an annual income of 12 lakh rupees?,Card
C1027,Your UPI service has been down since morning and I have an urgent payment to make. Nobody at the helpline knows anything.,Complaint
C1028,Please update my registered mobile number. I have changed my carrier and no longer have access to the old number.,Account
C1029,I applied for a vehicle loan two weeks ago and the dealer says the bank has still not released the payment. I may lose the booking.,Loan
C1030,Very smooth video KYC process. Completed in under five minutes and the account was active the next morning.,General
C1031,My cheque book request has not arrived after three weeks. I raised this twice and got no reply either time.,Account
C1032,Can you confirm the maximum tenure available on a personal loan?,Loan
C1033,I received a call asking for my card CVV claiming to be from the bank. Is this genuine? I did not share it.,Card
C1034,The interest certificate for the financial year has an incorrect principal figure. I need a corrected copy for my tax filing.,Loan
C1035,My account has been marked inoperative even though I made a transfer last month. Please rectify this.,Account
C1036,I have been a customer for fifteen years and this is the worst service I have experienced. Nobody takes ownership of anything.,Complaint
C1037,What documents do I need for opening a current account for my partnership firm?,Account
C1038,My home loan was sanctioned but the disbursement has been delayed by nine days without explanation. The builder is charging me interest.,Complaint
C1039,Please confirm whether rental income can be considered for home loan eligibility.,Loan
C1040,"The ATM at the Kochi branch dispensed 4,000 rupees less than what was debited. I reported it yesterday.",Complaint
C1041,Thank you for the prompt reversal of the incorrect charge. Issue resolved to my satisfaction.,General
C1042,What is the cooling period for a newly added beneficiary in internet banking?,Account
C1043,I want to close my credit card. I submitted the request ten days ago and it is still showing as active.,Card
C1044,My loan application was rejected. Can I know the specific reason so I can address it and reapply?,Loan
C1045,Somebody has opened an account using my PAN details. I want an immediate investigation into this fraud.,Complaint
C1046,Is nomination mandatory for a savings account or can I decline it?,Account
C1047,"The mobile app crashes every time I try to view my loan statement. Reported three times, still not fixed.",Complaint
C1048,Requesting an increase in my UPI daily transaction limit. What is the procedure?,Account
C1049,I have not received my card despite it showing as dispatched four weeks ago. The tracking number given to me is invalid.,Card
C1050,Could you tell me the current minimum balance requirement for a savings account at a semi urban branch?,Account
C1051,My complaint was closed without anyone contacting me and without the issue being resolved. Reopening it now.,Complaint
C1052,The relationship manager at Mumbai branch went out of her way to help with my documentation. Very grateful.,General
C1053,I am being charged interest on an amount I have already repaid in full. I have the payment receipt.,Complaint
C1054,What is the turnaround time for a home loan credit decision after all documents are submitted?,Loan
C1055,My KYC was completed in January but the system still shows it as pending and my account is restricted.,KYC
C1056,Please share the escalation matrix. I have been unable to get a resolution at the branch level for six weeks.,Complaint
C1057,Is a driving licence acceptable as an officially valid document for address proof?,KYC
C1058,The new statement format is much clearer than before. Appreciate the improvement.,General
C1059,I have been trying to reach the nodal officer for two weeks. Nobody answers and the mailbox is full.,Complaint
C1060,Can I prepay my home loan partially without any charges?,Loan
